text,analysis,score
今天终于放假了，直接奔去海边，阳光沙滩太爽了！☀️🌊,（喜悦）表现出强烈的喜悦和满足感，对假期的享受与期待，积极的情绪明显。,85
我去，这个老师也太难懂了吧？上他的课就是折磨！,（不满）对老师的教学方式表示强烈不满，感到困扰和抱怨情绪。,40
跟朋友去吃了网红火锅，麻辣得我直接怀疑人生🔥🌶️,（满足）享受美食，但麻辣程度使其感到挑战，整体情绪偏正面但有些许困扰。,70
通宵打游戏，结果被老妈抓包了，哎，GG了😭,（失落）对被发现通宵打游戏感到失望，情绪较为低落，但未至极端。,30
这作业是人干的活吗？我已经熬了三天了💀📚,（压抑）作业压力极大，表现出极度疲惫和压抑的情绪。,20
今天遇到个极品老师，居然把我的作业说成抄的，气死我了💢,（愤怒）对老师的指责表示强烈愤怒，情绪非常激烈。,45
学校的食堂菜真的是越来越难吃了，能不能多点选择啊🍛,（不满）对食堂饭菜感到不满，希望有更多选择，带有抱怨情绪。,40
跟哥们儿出去撸串，结果吃太多，肚子撑爆了😅,（满足）享受美食但吃得过量，整体情绪偏正面。,75
昨天玩的太嗨，今天起床直接迟到，完了，老师要扣分了🤦‍♂️,（担心）对迟到后果感到担忧，情绪较为负面。,35
这门课真的烦死了，天天考试，谁顶得住啊？,（厌倦）对频繁考试感到厌倦和不满，情绪趋向负面。,30
昨晚熬夜看剧，结果现在困得像只咸鱼😴,（厌倦）对熬夜后困倦感到厌倦，但情绪没有特别强烈的负面色彩。,35
刚拿到驾照，开车出去兜风，感觉自己帅炸了🚗💨,（自信）对获得驾照后开车兜风表现出强烈的自信与满足感。,85
学校Wi-Fi真是个辣鸡，连个视频都加载不出来！,（不满）对学校Wi-Fi的质量极度不满，情绪较为负面。,40
今天终于吃到传说中的网红蛋糕了，甜到爆🍰,（满足）对美食的喜爱和满足感情绪明显，整体偏正面。,80
这老师讲课能不能别那么墨迹，真的是受不了了！,（不耐烦）对老师的教学方式感到不耐烦和困扰，情绪偏负面。,40
和朋友们组队打LOL，结果被虐惨了，果然还是太菜了😓,（失落）对游戏表现感到失望，但情绪没有特别极端。,30
上课偷玩手机，结果被老师逮了个正着，好尴尬🙈,（羞愧）对被抓现行感到尴尬和羞愧，情绪较为负面。,25
今天考试居然考了满分，不敢相信我这么牛逼🎉,（自信）对自己考试成绩表现出强烈的自信与成就感，情绪非常正面。,90
假期去哪儿玩呢？有推荐的吗？想逃离这该死的城市！,（厌倦）对当前城市的厌倦情绪明显，表现出强烈的逃离欲望。,30
听说最近出了新游戏，打算通宵来一波，谁陪我？,（乐观）对新游戏充满期待，并计划与朋友一起享受，情绪偏正面。,75
学校的社团活动真无聊，还不如回宿舍睡觉😴,（厌倦）对社团活动感到无聊和不满，情绪较为负面。,30
我靠，这个老师的课件真的是抄袭的吧？和网上一模一样！,（愤怒）对老师的行为表示强烈质疑和愤怒，情绪较为负面。,45
今天去吃了寿司，太好吃了，想天天吃🍣,（满足）对美食的极大满足感，情绪正面。,85
这个学期的课表简直是地狱，每天都排满了，疯了！,（不满）对课程安排感到强烈不满和压力，情绪负面。,35
周末计划：睡觉、打游戏、吃炸鸡，这才是生活！,（满足）对周末计划的极大满足感，情绪非常正面。,85
发现一个小众咖啡馆，环境太好了，适合学习📖☕,（满足）对发现的咖啡馆环境非常满意，情绪正面且积极。,80
学校的热水器又坏了，洗个澡冻得瑟瑟发抖❄️,（不满）对学校设施的不满，表达了强烈的不满和抱怨情绪。,40
去了一趟动物园，看到了超可爱的熊猫，萌炸了🐼,（喜悦）对熊猫的喜爱表现出强烈的喜悦和满足感，情绪非常正面。,85
又是熬夜写论文的一天，我的黑眼圈比熊猫还重🐼‍♂️,（压抑）对熬夜和写论文的疲惫和压抑情绪表现明显。,20
今天被狗啃了一下，吓死我了，马上去打疫苗💉,（恐惧）对被狗咬后的恐惧情绪非常明显，情绪负面。,20
跟朋友们打麻将，结果输得裤子都要赔了😅,（失落）对麻将失利感到失落，但情绪没有特别强烈的负面色彩。,30
这个老师真的烦，天天布置作业，不想干了！,（厌倦）对老师的教学安排感到厌倦和不满，情绪趋向负面。,30
刚刚吃了一碗超级辣的面，现在嘴巴火辣辣的🔥,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
这门课的考试题简直是出自地狱，根本不会做！,（不满）对考试难度感到不满和无力，情绪负面。,40
假期去日本旅游了，东京的夜景真的美哭了🌃,（幸福）对旅行经历的极大满足和愉悦感，情绪非常正面。,90
刚刚通宵打了一宿游戏，战绩还不错👍,（满足）对游戏表现感到满意，情绪正面。,80
今天的天气好好，适合去公园遛狗🐕,（满足）对天气和活动的满意情绪，表现出平和和满足感。,75
学校的网真的是垃圾，不知道在搞什么👎,（不满）对学校网络质量的强烈不满，情绪负面。,40
看了一部新电影，剧情太烂，浪费了我的时间🎬,（不满）对电影质量的不满和失望，情绪负面。,35
我靠，这个老师居然改我的作业改到凌晨两点，真是变态！,（愤怒）对老师的行为感到愤怒和不满，情绪非常负面。,45
今天吃了传说中的臭豆腐，真的超臭，但很好吃🤢,（满足）尽管对味道有困扰，但总体表现出对美食的满足感。,70
学校的操场晚上真是人满为患，跑步都没地方了🏃‍♂️,（不满）对学校设施的拥挤感到不满，情绪较为负面。,40
刚刚玩了一把吃鸡，居然拿了第一名，超激动🎮,（自信）对游戏中的出色表现表现出强烈的自信和满足感，情绪非常正面。,85
周末和朋友们去了海滩，结果被晒得像个虾🦐,（担心）对日晒的后果感到担忧，情绪较为负面。,35
今天去爬山了，累得半死，但风景很美⛰️,（满足）尽管疲惫，但对风景感到满足和愉悦，情绪正面。,80
上课迟到了，结果老师还专门点名批评，真是倒霉！,（失落）对迟到和被批评感到失落，情绪负面。,30
吃了学校附近的一家小吃店，味道不错，下次还去🍜,（满足）对食物的味道感到满足，情绪正面。,75
刚刚做完实验，结果被化学品烫了一下，疼死了🧪,（痛苦）对实验中的意外感到生理上的痛苦，情绪非常负面。,10
假期去了趟云南，洱海真的美得不像话🏞️,（幸福）对旅行体验的极大满足和愉悦感，情绪非常正面。,90
今天又被老师抓到玩手机，没收了，妈的😡,（愤怒）对被抓和惩罚感到愤怒，情绪负面。,45
昨晚熬夜复习，结果今天考试依然考砸了，心累💔,（失落）对考试结果感到失望，情绪负面。,30
学校的自习室居然没位子了，只好回宿舍躺尸了🛏️,（失落）对自习室的拥挤感到失望，情绪负面。,30
今天去吃了麻辣烫，辣得我直冒汗，但好爽🔥,（满足）对美食的极大满足感，情绪正面。,75
上课被老师点名提问，结果我答不上来，好尴尬😓,（羞愧）对回答问题失败感到尴尬，情绪较为负面。,25
刚刚打了几局王者荣耀，全都输了，气死我了⚔️,（愤怒）对游戏失败感到愤怒，情绪负面。,45
今天下课后去逛了商场，结果啥也没买👗,（平淡）对购物结果没有明显情绪波动，属于中性表达。,50
这个老师的课真的是催眠神器，一分钟睡着😴,（厌倦）对课程的无聊感到厌倦，情绪偏负面。,30
周末跟朋友们去了酒吧，喝得有点多，头好疼🍻,（痛苦）对饮酒后的不适感到痛苦，情绪负面。,10
今天吃了传说中的羊肉串，味道真心不错🍢,（满足）对美食的极大满足感，情绪正面。,80
刚刚被室友怼了一句，气得我直翻白眼🙄,（愤怒）对室友的言语感到愤怒，情绪负面。,45
学校的网络真的是让我无语，连个视频都加载不出来！,（不满）对学校网络的质量表示强烈不满，情绪负面。,40
今天去吃了日本料理，居然吃撑了，太好吃了🍱,（满足）对美食的极大满足感，情绪正面。,85
和朋友们打了一整天的桌游，结果都输惨了😵,（失落）对桌游的结果感到失望，情绪负面。,30
今天的晚饭真的是随便吃了点，对食堂完全失去希望🍲,（不满）对食堂饭菜表示不满，情绪负面。,40
刚刚做完体育课，整个人都累瘫了，救命🏃‍♀️,（痛苦）对运动后的疲惫感到痛苦，情绪负面。,10
今天去游乐园玩，结果被吓得尖叫连连🎢,（恐惧）对游乐设施感到恐惧，情绪负面。,20
又是熬夜刷剧的一天，感觉自己要废了📺,（压抑）对熬夜后的疲惫感到压抑，情绪负面。,20
周末打算去爬山，有没有人一起？🧗‍♂️,（乐观）对爬山活动表示期待，情绪正面。,75
今天去图书馆借书，结果书都被借光了📚,（失落）对借书失败感到失望，情绪负面。,30
学校的篮球场总是被占，什么时候才能轮到我打球？🏀,（不满）对篮球场的使用状况表示不满，情绪负面。,40
刚刚吃了一碗超级辣的火锅，现在嘴巴还在冒烟🌶️,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
今天终于见到传说中的网红打卡点了，拍了好多照片📸,（满足）对打卡点的体验感到满足，情绪正面。,80
上课无聊得快睡着了，这老师也太无聊了😴,（厌倦）对课程的无聊感到厌倦，情绪偏负面。,30
刚刚被朋友放了鸽子，一个人在宿舍发呆🙁,（失落）对被朋友放鸽子感到失望，情绪负面。,30
学校的体育课真的是浪费时间，还不如在宿舍睡觉🏋️‍♂️,（厌倦）对体育课感到厌倦和不满，情绪负面。,30
今天去吃了传说中的网红奶茶，味道一般般🧋,（平淡）对奶茶的味道没有明显情绪波动，属于中性表达。,50
昨晚熬夜看球赛，结果今天上课睡着了⚽,（疲惫）对熬夜后的疲惫感到疲倦，情绪负面。,30
刚刚被舍友的宠物吓了一跳，心脏都快跳出来了🐍,（恐惧）对被宠物吓到感到恐惧，情绪负面。,20
今天去看了新上映的电影，居然被感动哭了😭,（悲伤）对电影的情感冲击感到悲伤，情绪负面。,10
和朋友们去KTV嗨了一整晚，嗓子都哑了🎤,（满足）对KTV活动感到极大的满足和愉悦，情绪正面。,80
刚刚做完作业，整个人都累瘫了，要崩溃了📚,（痛苦）对作业的疲惫感到痛苦和崩溃，情绪负面。,10
今天去游泳了，结果差点溺水，太尴尬了🏊‍♂️,（恐惧）对溺水的经历感到恐惧，情绪负面。,20
刚刚吃了一碗超级辣的面，现在胃都要爆炸了🍜,（痛苦）对麻辣面的刺激感到生理上的痛苦，情绪负面。,10
学校的体育馆总是被占用，啥时候轮到我打球？,（不满）对体育馆的使用状况表示不满，情绪负面。,40
刚刚和朋友去吃了烤串，结果被辣得嗓子都冒火🔥,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
昨晚熬夜打游戏，结果今天早上起来晚了，迟到😓,（失落）对迟到的结果感到失望和懊恼，情绪负面。,30
今天去了趟植物园，看到了好多漂亮的花🌸,（满足）对植物园的体验感到满足和愉悦，情绪正面。,80
刚刚被老师批评了一顿，心情超级不好💔,（失落）对老师的批评感到失落，情绪负面。,30
今天去吃了传说中的网红甜品，味道还行🍦,（平淡）对甜品的味道没有明显情绪波动，属于中性表达。,50
和朋友们去打了几局CS，结果都被虐惨了🔫,（失落）对游戏结果感到失望，情绪负面。,30
今天上体育课，跑了好多圈，腿都要断了🏃‍♂️,（痛苦）对体育课后的疲惫感到痛苦，情绪负面。,10
刚刚吃了一碗超辣的酸辣粉，现在还在冒汗🌶️,（满足）尽管感到麻辣的刺激，但总体表现出享受美食的满足感。,75
今天去了博物馆，感觉还挺有趣的，学到了不少📜,（满足）对博物馆的体验感到满足，情绪正面。,80
刚刚被室友放了鸽子，一个人呆在宿舍😢,（失落）对被室友放鸽子感到失望，情绪负面。,30
今天吃了传说中的烤鸭，味道真心不错🦆,（满足）对美食的极大满足感，情绪正面。,85
和朋友们去玩了密室逃脱，结果被吓得不轻🧟‍♂️,（恐惧）对密室逃脱的恐惧感到害怕，情绪负面。,20
今天上课被老师点名提问，结果答错了，太丢脸了😅,（羞愧）对回答错误感到尴尬和羞愧，情绪较为负面。,25
刚刚吃了一碗超级辣的麻辣烫，现在胃都在烧🔥,（痛苦）对麻辣烫的刺激感到生理上的痛苦，情绪负面。,10
今天去了趟游乐园，玩了好多刺激的项目🎡,（满足）对游乐园的体验感到满足和愉悦，情绪正面。,80
刚刚被朋友忽悠了一顿，心情超级差😡,（愤怒）对朋友的行为感到被欺骗和愤怒，情绪负面。,45
今天去理发，结果发型被剪得跟狗啃了一样，崩溃😭,（痛苦）对理发结果极度不满，感到痛苦和崩溃，情绪非常负面。,10
这老师的PPT真是要了我的命，全是密密麻麻的字📄,（不满）对老师PPT的排版感到强烈不满，情绪负面。,40
终于下定决心减肥了，结果晚上还是忍不住吃了宵夜😅,（失落）对自己减肥失败感到失望，但语气较为轻松，情绪中性偏负面。,35
周末打算跟朋友去露营，期待看到星空✨,（乐观）对露营活动充满期待，情绪正面积极。,75
刚刚写完一篇论文，脑子快要炸了，求放过📚,（疲惫）对论文写作的疲惫感到压力，情绪负面。,30
今天去动物咖啡馆，猫咪太可爱了，完全治愈了我🐱,（满足）对动物咖啡馆体验感到极大的满足和愉悦，情绪正面。,85
刚刚看完一部悬疑片，脑袋都快烧坏了，剧情太烧脑🧠,（疲惫）对悬疑片的复杂情节感到脑力疲惫，但带有些许成就感。,55
学校的洗衣机又坏了，衣服还没洗完就停了，太坑了！,（不满）对学校设施故障感到强烈不满，情绪负面。,40
今天在课堂上看老师的脸色都不对，果然要出事了😳,（担心）对课堂气氛感到担忧，情绪负面。,35
刚刚吃了一家新开的餐厅，味道还不错，下次再来🍝,（满足）对新餐厅的体验感到满意，情绪正面。,75
和朋友一起去看了一场演唱会，嗨到爆，超喜欢🎤,（喜悦）对演唱会的体验感到极大的喜悦和兴奋，情绪非常正面。,90
今天去做义工，虽然累但很有意义，收获满满❤️,（满足）对义工活动感到充实和满足，情绪非常正面。,85
刚刚被朋友带去健身房，结果第二天肌肉酸痛到不行🏋️,（痛苦）对健身后的身体疼痛感到不适，情绪负面。,20
今天的考试真是坑爹，复习的内容一点都没考到😤,（愤怒）对考试内容与复习不符感到愤怒和不满，情绪负面。,45
刚刚和室友打了一架，现在冷战中，谁来劝和一下？,（愤怒）对冲突感到愤怒并表现出不满，情绪负面。,45
学校的电梯总是坏，每次爬楼梯都要累死💦,（不满）对电梯故障感到强烈不满和疲惫，情绪负面。,40
今天去了一家很棒的餐厅，环境超好，推荐给大家🍴,（满足）对餐厅环境和体验感到极大的满足，情绪正面。,85
刚刚看了一本小说，情节感人得我泪流满面📖,（悲伤）对小说情节感到强烈的情感冲击和悲伤，情绪非常负面。,10
今天在街上遇到前任，居然还打了个招呼，真是尴尬😅,（尴尬）对与前任的偶遇感到尴尬，情绪中性偏负面。,35
刚刚在网上买了好多东西，钱包又瘦了一圈💸,（失落）对花钱后的经济压力感到些许失落，情绪偏负面。,30
今天去看了场电影，剧情真的超烂，后悔花了钱🎬,（不满）对电影的低质量感到强烈不满，情绪负面。,40
刚刚玩了一局狼人杀，结果被朋友坑惨了🐺,（失落）对游戏中的表现感到失望，情绪偏负面。,30
今天吃了一份超级大的披萨，撑得我都走不动路了🍕,（满足）对美食的满足感较为明显，情绪正面。,75
刚刚在宿舍和室友们一起煮火锅，感觉超温馨🍲,（满足）对与室友的互动感到温馨和满足，情绪正面。,85
今天的天气真好，去公园散了个步，感觉心情很放松🌳,（满足）对良好天气和散步感到放松和满足，情绪正面。,80
刚刚被老师叫去办公室谈话，感觉自己要挂科了😭,（担心）对可能的学业问题感到强烈的担忧，情绪负面。,35
今天去了一家新的甜品店，结果太甜了，齁得慌🍰,（厌恶）对甜品过于甜腻感到不适，情绪负面。,35
刚刚和朋友去逛了夜市，买了好多好吃的🍡,（满足）对夜市体验感到满足和愉悦，情绪正面。,80
今天上课又睡着了，感觉已经被老师盯上了👀,（担心）对自己课堂行为感到担忧，情绪负面。,35
刚刚在宿舍做了个DIY，虽然手残但还挺有成就感✂️,（满足）对自己完成DIY项目感到成就感，情绪正面。,75
今天去学校附近的咖啡馆学习，结果光顾着拍照了📸,（满足）对咖啡馆环境感到满意，尽管有所分心，情绪总体正面。,70
刚刚打了一整晚的麻将，结果输了好多，心疼😩,（失落）对麻将失利感到失望和心疼，情绪负面。,30
今天去游泳了，感觉整个人都轻松了好多🏊‍♀️,（满足）对游泳后的放松感到满意，情绪正面。,75
刚刚和朋友去KTV唱歌，结果嗓子全哑了🎤,（痛苦）对KTV后的嗓子不适感到痛苦，情绪负面。,20
今天去学校的运动会当志愿者，忙得晕头转向🏅,（疲惫）对志愿活动的繁忙感到疲惫，但未表现出强烈负面情绪。,50
刚刚被老师点名提问，结果我一脸懵逼，完全答不上来😓,（羞愧）对课堂上的表现感到尴尬和羞愧，情绪负面。,25
今天去吃了传说中的韩国烤肉，味道真心不错🍖,（满足）对美食体验感到极大的满足和愉悦，情绪正面。,85
刚刚和室友吵了一架，现在气得要爆炸💢,（愤怒）对冲突感到愤怒和不满，情绪负面。,45
今天去爬山了，虽然累但风景真的超级美⛰️,（满足）对爬山体验感到满足和愉悦，情绪正面。,80
刚刚打了几局王者荣耀，结果全都输了，太菜了😖,（失落）对游戏失败感到失望，情绪负面。,30
今天去了趟古镇，感觉像穿越回了过去，超有感觉🏮,（满足）对古镇的体验感到满足和愉悦，情绪正面。,80
刚刚看完一部恐怖片，吓得我不敢关灯睡觉😱,（恐惧）对恐怖片的效果感到强烈的恐惧，情绪负面。,20
今天去吃了日料，寿司真的好好吃，根本停不下来🍣,（满足）对美食体验感到极大的满足和愉悦，情绪正面。,85
刚刚被狗咬了一口，现在去医院打疫苗，怕死了💉,（恐惧）对被狗咬后的健康担忧感到强烈的恐惧，情绪负面。,20
今天去参观了一个博物馆，学到了好多有趣的知识🧐,（满足）对博物馆的学习体验感到满足，情绪正面。,80
刚刚玩了一局狼人杀，结果全程被怀疑，郁闷😑,（失落）对游戏中的表现感到失望，情绪负面。,30
今天去逛了商场，买了好多衣服，钱包又瘦了👗,（满足）对购物的满足感明显，尽管对钱包感到失落，整体情绪正面。,70
刚刚在宿舍做了个DIY小蛋糕，味道还不错🍰,（满足）对DIY项目的成果感到满意，情绪正面。,75
今天的晚饭真心难吃，食堂能不能稍微提升一下水平？🍛,（不满）对食堂饭菜感到强烈不满，情绪负面。,40
刚刚被朋友带去滑冰，结果摔了一跤，疼死了⛸️,（痛苦）对摔跤后的身体不适感到痛苦，情绪负面。,20
今天上课又迟到了，老师的眼神真的是杀人于无形👀,（担心）对迟到后果感到担忧，情绪负面。,35
刚刚和朋友去看了一场舞台剧，演员们演得真好🎭,（满足）对舞台剧的表演感到极大的满足和愉悦，情绪正面。,85
今天去跑步了，感觉腿都不是自己的了🏃‍♀️,（痛苦）对跑步后的疲惫感到痛苦，情绪负面。,20
刚刚吃了炸鸡，罪恶感满满，但真的好好吃🍗,（满足）尽管感到些许罪恶，但对美食的满足感明显，情绪正面。,75
今天去参加了一个讲座，虽然很无聊但有学到东西📚,（理性）对讲座内容虽然感到无聊，但理性地认识到有收获，情绪中性。,65
刚刚和朋友们去唱K，嗨得我都不想回宿舍了🎤,（喜悦）对KTV活动的极大满足感，情绪正面。,85
今天在校园里捡到了一个钱包，已经交给保安了💼,（理性）对事件的理性处理和中性情绪，情绪中性。,65
刚刚看了一部喜剧片，笑得我肚子都疼了😂,（喜悦）对喜剧片的愉悦感表现得非常明显，情绪非常正面。,85
